name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
australia,2024-04-11,67.7,37.1,52,67.7,37.1,51.7,40.9,70.9,0,0,0,,0,0,16.8,9.7,97.1,1020.4,6.7,6.6,179.1,15.4,8,10,2024-04-11T06:24:19,2024-04-11T17:44:17,0.08,Clear,Clear conditions throughout the day.,clear-day,"YSCB,95925099999,F4257,94925099999,94927099999,F0067,95716099999,94926099999"
australia,2024-04-12,69.4,44.4,55.7,69.4,43.4,55.3,46.6,74.6,0,0,0,,0,0,17,14.5,337,1020.9,45.8,6.2,186.3,16.1,8,10,2024-04-12T06:25:07,2024-04-12T17:42:58,0.11,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"YSCB,95925099999,94925099999,F0067,94927099999,95716099999,94926099999"
australia,2024-04-13,67.7,39.6,52.9,67.7,39.6,52.9,44.5,77.5,0,0,0,,0,0,12.8,8.6,351.3,1021.8,42.9,6.1,163.3,14.2,6,10,2024-04-13T06:25:55,2024-04-13T17:41:40,0.14,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"YSCB,95925099999,94925099999,F0067,94927099999,95716099999,94926099999"
australia,2024-04-14,71,41.3,56.6,71,41.3,56.3,43.8,68.5,0,0,0,,0,0,17.4,12.1,343.8,1023,38.9,6,162.5,13.9,6,10,2024-04-14T06:26:43,2024-04-14T17:40:22,0.17,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"YSCB,95925099999,94925099999,F0067,94927099999,95716099999,94926099999"
australia,2024-04-15,71.1,34,52.5,71.1,31.5,51.9,40.2,67.5,0,0,0,,0,0,21,15.2,354.1,1023.3,49,6.2,147.2,12.8,6,10,2024-04-15T06:27:31,2024-04-15T17:39:05,0.21,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"YSCB,95925099999,94925099999,F0067,94927099999,95716099999,94926099999"
australia,2024-04-16,69.8,37.3,53.6,69.8,33.1,52.8,43.4,72.9,0,0,0,,0,0,15.2,8.9,0.9,1023.7,42,6,165.8,14.2,6,10,2024-04-16T06:28:20,2024-04-16T17:37:49,0.25,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"YSCB,95925099999,94925099999,F0067,94927099999,95716099999,94926099999"
australia,2024-04-17,67.9,49.4,57.1,67.9,47.5,56.8,50,79.8,0,0,0,rain,0,0,21.5,11.3,95.4,1023.7,83.1,6.2,147.7,12.9,7,10,2024-04-17T06:29:08,2024-04-17T17:36:33,0.27,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"YSCB,95925099999,94925099999,F0067,94927099999,95716099999,94926099999"
australia,2024-04-18,66.3,43.2,56.3,66.3,43.2,56.2,45.7,71.9,0,0,0,rain,0,0,22.6,16.1,300.7,1017.8,57,5.7,122.8,10.6,7,10,2024-04-18T06:29:57,2024-04-18T17:35:18,0.31,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"YSCB,95925099999,94925099999,F0067,94927099999,95716099999,94926099999"
australia,2024-04-19,64.5,37.7,50.5,64.5,33.7,49.4,42.1,76.2,0,0,0,rain,0,0,17.7,10.3,130.3,1018.8,81.7,6.2,128.1,11.2,6,10,2024-04-19T06:30:45,2024-04-19T17:34:04,0.34,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"YSCB,95925099999,94925099999,F0067,94927099999,95716099999,94926099999"
australia,2024-04-20,66,41.2,52.1,66,39.9,50.9,42.9,74,0,0,0,,0,0,21.3,13.9,143,1026.7,22.1,6.2,148.2,12.9,6,10,2024-04-20T06:31:33,2024-04-20T17:32:50,0.37,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"YSCB,95925099999,94925099999,F0067,94927099999,95716099999,94926099999"
