Date,Hour,Temperature,RainProb,WindSpeed,HeavyWeather
2024-05-06,17.0,14.17,0.0,13.824,0
2024-05-06,18.0,13.63,0.0,14.328,0
2024-05-06,19.0,13.18,0.0,14.652,0
2024-05-06,20.0,12.7,0.0,14.112,0
2024-05-06,21.0,12.18,0.0,13.572,0
2024-05-06,22.0,12.33,0.0,12.816,0
2024-05-06,23.0,14.79,0.0,10.404,0
2024-05-07,0.0,17.45,0.0,16.596,0
2024-05-07,1.0,19.24,0.0,19.044,0
2024-05-07,2.0,20.71,0.0,18.540000000000003,0
2024-05-07,3.0,21.82,0.0,17.892,0
2024-05-07,4.0,22.72,0.0,17.676000000000002,0
2024-05-07,5.0,23.3,0.0,17.856,0
2024-05-07,6.0,23.42,0.0,18.576,0
2024-05-07,7.0,23.14,0.0,18.684,0
2024-05-07,8.0,22.42,0.0,18.684,0
2024-05-07,9.0,21.13,0.0,15.192,0
2024-05-07,10.0,20.15,0.0,14.04,0
2024-05-07,11.0,19.48,0.0,14.904,0
2024-05-07,12.0,19.09,0.0,15.768,0
2024-05-07,13.0,18.59,0.0,15.552,0
2024-05-07,14.0,17.99,0.0,15.912,0
2024-05-07,15.0,17.44,0.0,16.740000000000002,0
2024-05-07,16.0,17.09,0.0,17.064,0
2024-05-07,17.0,16.25,0.0,15.444,0
2024-05-07,18.0,15.31,0.0,15.408,0
2024-05-07,19.0,14.66,0.0,16.56,0
2024-05-07,20.0,14.15,0.0,16.164,0
2024-05-07,21.0,13.63,0.0,16.416,0
2024-05-07,22.0,13.65,0.0,16.452,0
2024-05-07,23.0,15.91,0.0,13.716,0
2024-05-08,0.0,18.56,0.0,17.46,0
2024-05-08,1.0,20.89,0.0,18.684,0
2024-05-08,2.0,22.5,0.0,18.288,0
2024-05-08,3.0,23.62,0.0,16.704,0
2024-05-08,4.0,24.43,0.0,16.344,0
2024-05-08,5.0,24.85,0.0,17.46,0
2024-05-08,6.0,24.98,0.0,17.676000000000002,0
2024-05-08,7.0,24.67,0.0,17.64,0
2024-05-08,8.0,23.83,0.0,17.208000000000002,0
2024-05-08,9.0,22.69,0.0,13.032,0
2024-05-08,10.0,21.64,0.0,11.052,0
2024-05-08,11.0,20.91,0.0,12.420000000000002,0
2024-05-08,12.0,20.31,0.0,13.788,0
2024-05-08,13.0,20.28,0.0,13.932,0
2024-05-08,14.0,19.66,0.0,14.4,0
2024-05-08,15.0,19.2,0.0,14.616,0
2024-05-08,16.0,18.76,0.0,15.840000000000002,0
2024-05-08,17.0,18.14,0.0,16.2,0
2024-05-08,18.0,17.45,0.0,14.22,0
2024-05-08,19.0,16.8,0.0,13.392,0
2024-05-08,20.0,16.53,0.0,14.112,0
2024-05-08,21.0,16.19,0.0,15.948,0
2024-05-08,22.0,15.96,0.0,15.12,0
